id,geosamples_id,name_TODELETE,color,fabric,cortex,quality
46,46,SP58_JOR,The color distribution is Mix diffuse. Main colors are gray (2.5Y 6/1 and 10YR 5/1) and light brownish gray (10YR 6/2).,"The nodules of the sample have varying characteristics: 1) luster ranges from Shiny to Medium; 2) the translucency varies from Opaque to Translucent (very restricted facies); 3) the feel can be Smooth and Semi-smooth. The grain is fine for all chert facies in the sample. The structure is Uneven, with a Gradual and Abrupt variation. Patterns are Shaded, Spots (50-99%) and Lines (1-49%). Spots are Broad mottling, Speckling and Flecks, with an Uneven distribution. Lines are Horizontal Bands of Solid type.","Whenever present between the chert and the encasing rock, the cortex is Thin and with a Sharp transition. Sometimes the transition between the chert and the encasing rock is Abrupt without any alteration surface. The nodules range from small to large and are circular or irregular. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong. The parent rock may be a Limestone.",The fracture is Conchoidal and the surface has Fractures and Cleavage plains. The quality ranges from Good to Medium depending on the nodule and the area of the nodule.
47,47,SP59_JOR,Main colors are gray (2.5Y 6/1 and 10YR 5/1) and light brownish gray (10YR 6/2).,"The sample shows distinct facies with distinct characteristics: 1) chert areas with Shiny luster, Sub-translucent, Smooth feel and Fine grain; 2) chert areas with Dull luster, Opaque, Semi-smooth feel and Fine grain. The structure is Uneven with a Gradual variation. The patterns are Spots, which are: 1) Broad mottling; 2) Spotted; 3) Speckling. The spots occupy 50-99% of the sample and have an Uneven distribution.","The nodules are imbued in the encasing rock without an alteration cortex. The transition between the chert and the encasing rock is Gradual, with the outer edges of the chert showing variable levels of chertification.  The nodules are irregular shaped but somewhat oval, and are medium-small sized. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong. The parent rock may be a Limestone.",The fracture is Conchoidal and there are Fractures and Cleavage plains. The knapping quality is Medium.
48,48,SP61_PER,Main colors are gray (10YR 5/1 and 6/1) and light gray (10YR 7/1).,"Dull and opaque. Rough to semi-rough feel and the grain is fine. The structure is Uneven with a gradual variation. Patterns are Spots. These are mostly Splotched and Speckling, in 50-99% of the sample. Within the nodules there are areas with differing degrees of silicification, creating the Uneven structure.","Cortex type is Outcrop. It is thin and ranges from a sharp to gradual transition, the latter with a lighter color than the inside of the nodule. The nodules are spherical, enclosed in the parent rock in sharp contacts. When tested with dilute hydrochloric acid (HCL 10%), there was no reaction, hinting at the absence of carbonate minerals in the parent rock.",The fracture type is Conchoidal and Uneven and the surface is Homogeneous. The knapping quality is Good to Medium.
49,49,SP62_OLV_1,"The color distribution is Mix sharp. The colors are Pale red (5R 6/2), Pale red purple (5RP 6/2), Grayish red purple (5RP 4/2), Light olive brown (2.5Y 5/3), Pale yellow (2.5Y 8/4) and White (2.5Y 8/1).","The luster is Medium and the translucency is Sub-translucent. The feel ranges from Smooth to Semi-smooth and the grain is Fine. The structure is Uneven with an Abrupt variation. The patterns are Spots (1-49%) and Lines (1-49%). The spots are Speckling with an Even distribution. The lines are Horizontal Banded and Laminated, concentrated between the cortex and the interior of the nodule. The bands and laminated lines have several colors while the interior of the nodule is Light olive brown.","The cortex is from an Outcrop, albeit rounded. It is Thick and the transition is Gradual. When tested with dilute hydrochloric acid (HCL 10%), there was no reaction. The parent rock may be a dolomite.",The fracture type is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
50,50,SP62_OLV_2,"The color distribution ranges from Mix diffuse to Mix sharp. The colors are Very light gray (N8) and Light gray (N7) on the inside of the nodule, and White between the chert and the cortex.","The luster is Dull and the translucency is Opaque. The feel is Semi-smooth and the grain is Fine. The structure is Even, and the only pattern present in the chert is Shaded.","The cortex is from an Outcrop and it is Thin, with a Sharp transition. Albeit patinated on the outside (red or bright orange), the cortex is white and easily distinguishable from the gray interior of the chert.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
51,51,SP63_OLV,"The color distribution is Mix diffuse. The colors are Med. light gray (N6), Grayish red purple (5RP 4/2) and Dusky red (5R 3/4).","The luster is Dull and the translucency is Opaque. The feel is Smooth the Semi-smooth and the grain is Fine. The structure is Uneven with a Gradual variation. The patterns are Spots (50-99%), which are Splotches and Speckling with Uneven distribution.","The cortex is Outcrop type, albeit looking smooth and rolled. It has Medium thickness and the transition is Sharp. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Weak. The parent rock may be a Dolomite.",The fracture type is Conchoidal and the samples have Cleavage plains and Fractures. The  knapping quality is Medium.
52,52,SP64_OLV,The color distribution is Single and the color is Med. Dark Gray (N4).,"The luster is Shiny and the translucency is Sub-translucent. The feel is Semi-smooth (it is possible to feel several minerals in the surface) and the grain is Fine. The structure is Even, only with a Shaded pattern from Dark Gray to Dark Brown which might be related to an alteration surface. There is also the present of Spots (50-99%) which are Speckling.","The cortex is from an Outcrop, albeit rounded. It is Thick, with a constant thickness, and with a Gradual transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong. The parent rock may be a Limestone.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
53,53,SP65_MALH,"The color distribution is Mix sharp. The colors are Light gray (10YR 7/2), Gray (10YR 6/1) and Very pale brown (10YR 8/2).","The luster is Dull and the translucency ranges from Opaque to Sub-translucent, depending on the fabric characteristics. The feel is Semi-smooth and the grain is Fine. The structure is Uneven with an Abrupt variation. The patterns are Spots (1-49%), which are Spotted, Splotched and Speckling, with an Uneven distribution. There is a sharp and irregular transition between the gray smoother chert and the white chert.","The cortex is from an Outcrop, but rolled. The thickness is different depending on the area and is difficult to precise due to the Gradual transition. Bellow the orange, outer surface of the cortex, the altered surface is white and mixes with the white chert gradually. There are several inclusions in the cortex area, by chert splotches or dolomite (?) spots. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong on the parent rock, and it may be a Limestone. On the alteration cortex, between the chert and the parent rock, there was no reaction.",The fracture type is Conchoidal and the surface is Homogeneous with the presence of one Fracture. The knapping quality is Good.
54,54,SP66_MALH,"The color distribution is Mix diffuse. The colors are Pinkish gray (7.5YR 6/2), Pale red purple (5RP 6/2), Very pale brown (10YR 7/4) and White.","The luster ranges from Dull to Medium and the translucency from Opaque to Sub-translucent. The feel is Smooth and the grain is Fine. The structure is Uneven with a Gradual variation. The patterns are Shaded, Spots (1-49%) and Lines (1-49%). The spots are Spotted, Splotched and Speckling with an Uneven distribution. The lines are Horizontal Laminated.","The cortex is from an Outcrop albeit with a rolled appearance. It ranges from Thin to Thick, with a Gradual transition. This transition is marked by a change in the fabric of the chert, although the white colors of the cortex and the outer layer of the chert mix and make it difficult to understand the chert/cortex limits. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong, although only in some localized areas. The parent rock may be a Limestone.",The fracture type is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
55,55,SP67_DESCAM,"The color distribution is Mix diffuse. The colors differ depending on the area: 1) Light brownish gray (5YR 6/1), Med. light gray (N6) and White (7.5YR 8/1); 2) Moderate red (5R 5/4), Very pale orange (10YR 8/2) and Light gray (N7).","The luster is Dull and the translucency is Opaque to Sub-translucent. The feel is Smooth to Semi-smooth and the grain is Fine. The structure is Uneven with a Gradual variation. The patterns are, for both areas, Shaded and Spots (50-99%). The spots are Broad mottling, Spotted and Speckling with an Uneven distribution.","The cortex is from an Outcrop type, albeit rolled. It ranges from Thin to Medium and has a Sharp transition. The white/light color of the cortex area is easily distinguished from the chert. When tested with dilute hydrochloric acid (HCL 10%), the reaction was strong. The parent rock may be a Limestone.",The fracture type is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
56,56,SP68_PEDR,"The color distribution is Mix sharp. The colors are Very pale brown (10YR 8/2), White (10YR 8/1) and Light gray (10YR 7/1).",The luster is Dull and the translucency is Opaque. The feel ranges from Semi-smooth (on the lesser altered areas of the chert) to Rough. The grain is Fine. The structure is Uneven with an Abrupt variation. The patterns are Spots (1-49%) which are Splotched with an Uneven distribution.,"The cortex is Thin and barely noticeable in the contact between the chert and the parent rock. When tested with dilute hydrochloric acid (HCL 10%), the reaction was strong for the parent rock and the cortex. The parent rock may be a Limestone.","The fracture is Conchoidal and Uneven, depending on the area of the nodule and it has more than one Fracture. The knapping quality is Low."
57,57,SP69_MAR,,The luster is shiny and the translucency is sub-translucent. The feel is Smooth and the grain is Fine. The structure is Uneven with a Gradual variation. The patterns are Shaded and Spots (1-49%). The spots are Speckling.,"Cortex is from an Outcrop, albeit very altered due to the secondary deposition environment. The transition is Sharp.",The fracture type is conchoidal and the surface is Homogeneous. The knapping quality is good.
58,58,SP22_BLS,"The color distribution is Mix sharp. The colors are Lilac (not Munsell), White (2.5YR 8/1) and Yellowish brown (10YR 5/8).","The luster is Dull and the translucency is Opaque. The feel is Rough and the grain is Medium. The distribution is Uneven with an Abrupt variation. The patterns are Spots (1-49%), which are Splotched with an Uneven distribution.","The cortex is Outcrop type, Thin, with a Gradual transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was strong on the cortex and weak on the parent rock. The cortex may be limestone while the parent rock may be a dolomitic limestone.",The fracture in Uneven (Sub-conchoidal) and the surface has fractures. The knapping quality is Medium.
